"GEMS TARIFF FOR ALL OTHER  PATHOLOGISTS
WITH EFFECT FROM 2026-01-01",,052-Pathology
4156,Vitamin D3,R257.30
4157,Biochemical tests-Blood: Vitamin A-saturation test,R317.10
4158,Biochemical tests-Blood: Vitamin E,R74.90
4159,Biochemical tests-Blood: Vitamin A,R130.40
4160,Biochemical tests-Blood: Vitamin C,R46.90
4161,Troponin Isoforms,R414.60
4163,Lipo protein A1,R171.50
4165,Apoprotein AII: Turbidometric method,R171.50
4167,Apoprotein B: Turbidometric method,R171.50
4170,Lipoprotein (a)(Lp(a) assay,R257.30
4171,Biochemical tests-Blood: Sodium+potassium+chloride+CO2+urea,R311.20
4172,Biochemical tests-Blood: ELISA/ESMIT technique HIV p24 antigen 4172 (Elisa Technique),R257.30
4173,Sirolimus Assay,"R1,616.70"
4181,Biochemical tests-Blood: Quantitative protein est.-Mancini,R160.50
4182,Biochemical tests-Blood: Quantitative protein est.-Nephelometer,R171.50
4183,Biochemical tests-Blood: Quantitative protein est.-labelled,R257.30
4185,Biochemical tests-Blood: Lactose,R223.90
4186,Vitamin B6,R317.10
4187,Biochemical tests-Blood: Zinc: Atomic apsortion,R375.60
4188,Urine Dipstick - Multiple Tests (>8),R31.00
4189,Biochemical tests-Urine: Abnormal pigments,R93.40
4193,Biochemical tests-Urine: Alkapton test: homogentisic test,R93.40
4194,Amino acids: quantitative (Post derivatisation HPLC),"R1,619.00"
4195,Biochemical tests-Urine: Amino laevulinic acid,R373.00
4197,Biochemical tests-Urine: Amylase,R107.50
4198,Arsenic,R375.60
4199,Biochemical tests-Urine: Ascorbic acid,R46.90
4201,Biochemical tests-Urine: Bence-Jones protein,R56.20
4203,Biochemical tests-Urine: Phenol,R74.90
4204,Biochemical tests-Urine: Calcium: atomic absorption,R150.20
4205,Biochemical tests-Urine: Calcium: soectrophotometric,R75.10
4206,Biochemical tests-Urine: Calcium: absorption/excretion,R518.10
4209,Biochemical tests-Urine: Lead: atomic absorption,R310.90
4210,Urine collagen telopeptides Microbumin test (reagent tablets)-Old Descripti,R756.60
4211,Biochemical tests-Urine: Bile pigments: qualitative,R46.90
4213,Biochemical tests-Urine: Protein: quantitative,R46.90
4216,Biochemical tests-Urine: Mucopolysaccharides: qualitative,R74.90
4217,Biochemical tests-Urine: Oxalates,R194.70
4218,Biochemical tests-Urine: Glucose: quantitative,R46.90
4219,Biochemical tests-Urine: Steriods: chromatography,R149.00
4220,klinolab Newborn Screen,R757.70
4221,Biochemical tests-Urine: Creatinine,R75.10
4223,Biochemical tests-Urine: Creatinine clearance,R158.70
4227,Biochemical tests-Urine: Electrophoresis: qualitative,R93.40
4228,Fetal Lung Maturity,R757.70
4229,Biochemical tests-Urine: Uric acid clearance,R158.70
4230,Urine/Fluid - Specific Gravity,R18.50
4231,Metabolites HPLC (High Pressure Liquid Chromatograph,R777.10
4232,Metabolites (Gaschromatograpy/Mass spectrophotometry,R970.00
4233,Pharmacological/Drugs of abuse: Metabolites HPLC/High pressure liquid chromatography,R777.10
4234,Pharmacological/Drugs of abuse: Metabolites (Gaschromatograpy/Mass spectrophotometry),R970.00
4235,Newborn Screen,R0.00
4237,Biochemical tests-Urine: 5-Hydroxy-indole-acetic acid: screen,R56.20
4238,5HIAA (HPLC),"R1,619.00"
4239,Biochemical tests-Urine: 5-Hydroxy-indole-acetic acid: quantitative,R139.80
4247,Biochemical tests-Urine: Ketones: excl. dip-stick,R46.90
4248,Biochemical tests-Urine: Reducing substances,R37.20
4251,Biochemical tests-Urine: Metanephrines:column chromatography,R457.10
4252,Metanephrine (HPLC),"R1,619.00"
4253,Aromatic amines (gaschromatography/mass spectro.),R559.70
4254,Biochemical tests-Urine: Nitrosonaphtol test-tyrosine,R46.90
4255,Orotic Acid,R195.80
4256,Very Long Chain Fatty Acids,"R2,680.90"
4261,Micro U-Albumin Quant,R257.30
4262,Micro Albumin-Qual,R93.40
4263,Biochemical tests-Urine: pH: excl. dip-stick,R18.50
4265,Biochemical tests-Urine: Thin layer chromatography-1 way,R139.80
4266,Biochemical tests-Urine: Thin layer chromatography-2 way,R233.00
4267,Total organic matter screen: infrared,R647.60
4268,Organic acids: quantitative: GCMS ,"R2,266.70"
4269,Biochemical tests-Urine: Phenylpyruvic acid: ferric chloride,R46.90
4270,Chromium Total Urine,R375.60
4271,Biochemical tests-Urine: Phosphate excretion index,R457.10
4272,Biochemical tests-Urine: Porphobilinogen screen test,R103.90
4273,Biochemical tests-Urine: Porphobilinogen: quantitative,R310.90
4283,Biochemical tests-Urine: Magnesium: spectrophotometric,R75.10
4284,Biochemical tests-Urine: Magnesium: atomic absorption,R150.20
4285,Biochemical tests-Urine: Identification of carbohydrate,R158.70
4287,Biochemical tests-Urine: Identification of drug: qualitative,R93.40
4288,Biochemical tests-Urine: Identification of drug: quantitative,R223.90
4293,Biochemical tests-Urine: Urea clearance,R112.00
4297,Biochemical tests-Urine: Copper: spectrophotomeetric,R75.10
4298,Biochemical tests-Urine: Copper: atomic absorption,R375.60
4300,Indican or indole: qualitative ,R65.30
4301,Biochemical tests-Urine: Chloride/Consultation for Chiropractor,R53.70
4307,Biochemical tests-Urine: Ammonium chloride loading test,R457.10
4309,Biochemical tests-Urine: Urobilinogen: quantitative,R139.80
4313,Biochemical tests-Urine: Phosphate Chiropractor:Three diagnostic procedures,R75.10
4315,Biochemical tests-Urine: Potassium,R75.10
4316,Biochemical tests-Urine: Sodium,R75.10
4319,Biochemical tests-Urine: Urea,R75.10
4321,Biochemical tests-Urine: Uric acid Single instance of immobilisation or therapeutic,R75.10
4323,Biochemical tests-Urine: Total protein/electrophoresis,R233.00
4325,Biochemical tests-Urine: VMA: quantitative,R233.00
4326,Catecholamines (HPLC),"R1,619.00"
4327,Immunofixation: Total protein IgGIgAIgMKappaLambda,R971.50
4328,Immunoglobulin D,R195.80
4335,Biochemical tests-Urine: Cystine: quantitative Five treatment procedures,R260.80
4336,Biochemical tests-Urine: Dinitrophenol hydrazine test: ketoacids/Six treatment procedures,R46.90
4337,Biochemical tests-Urine: Hydroxyproline: quantitative,R392.10
4339,Biochemical tests-Faeces: Chloride,R53.70
4343,Biochemical tests-Faeces: Fat: qualitative,R65.30
4345,Biochemical tests-Faeces: Fat: quantitative,R457.10
4347,Biochemical tests-Faeces: pH,R18.50
4351,Biochemical tests-Faeces: Occult blood: chemical test,R46.90
4352,Occult blood: Monoclonal antibodies,R207.20
4357,Biochemical tests-Faeces: Potassium,R75.10
4358,Biochemical tests-Faeces: Sodium,R75.10
4359,Secretory IgA,R195.80
4361,Biochemical tests-Faeces: Stercobilin,R46.90
4362,Elastase Quantitative ELIZA,R974.10
4363,Biochemical tests-Faeces: Stercobilinogen: quantitative,R139.80
4364,Chymotrypsin determination: enzymatic ,R154.80
4366,Porphyrin screen qualitative - urine stool etc,R103.90
4367,Porphyrin qualitative analysis by TLC,R414.60
4368,Porphyrin: Total quantitation: urine stool etc.,R414.60
4369,Porphyrin quantitative analysis by TLC,R621.70
4370,Drug level in biological fluid: Monoclonal immunolog,R257.10
4371,Biochemical tests-Miscellaneous: Amylase in exudate,R107.50
4372,Fluoried in biological fluids and water ,R323.90
4373,Biochemical tests-Miscellaneous: Breast milk analysis,R139.80
