"GEMS OPTOMETRY TARIFFS
WITH EFFECT FROM 2026-01-01",,070 - Network Optometrists,
Tariff Code,Tariff Description,2026 Tariff values,Flag
28936,Maxxee Plus Progressive 1.56Blue Photo Uncoated,R900.80,
28940,LW Retina FF 1.50 Align-HD Polar Uncoated,R440.80,
28941,LW Retina FF 1.50 Bio-Plus Polar Uncoated,"R1,341.70",
28952,LW Retina FF 1.67 Nature Clear Uncoated,R846.90,
28954,LW Retina FF 1.67 Align-HD Clear Uncoated,R850.90,
28956,LW Retina FF 1.67 Bio-Plus Clear Uncoated,"R1,133.10",
28958,1.67 Smart Clear Uncoated,"R3,140.20",
28960,1.50 Smart Clear Uncoated,R960.50,
28964,1.67 Smart Transitions Uncoated,R734.10,
28965,LW Retina FF 1.50 Align-HD Transitions Uncoated,R367.00,
28967,LW Retina FF 1.50 Bio-Plus Transitions Uncoated,"R1,359.00",
28969,1.50 Smart Transitions Uncoated,"R2,266.20",
28971,LW Retina FF 1.50 Nature Photochromic Uncoated,R367.00,
28972,LW Retina FF 1.60 Nature Clear Uncoated,"R1,542.90",
28973,LW Retina FF 1.60 Align-HD Clear Uncoated,"R1,555.70",
28974,LW Retina FF 1.60 Bio-Plus Clear Uncoated,"R1,828.50",
28975,1.60 Smart Clear Uncoated,R170.60,
28976,1.59 Smart Clear Uncoated,R170.60,
28977,LW Retina FF 1.53 Align-HD Clear Uncoated,R727.70,
28978,LW Retina FF 1.67 Nature Photochromic Uncoated,"R2,129.90",
29015,LW Retina FF 1.67 Align-HD Photochromic Uncoated,R665.50,
29030,LW Retina FF 1.67 Bio-Plus Photochromic Uncoated,R467.40,
29036,1.67 Smart Photochromic Uncoated,R862.50,
29037,LW Retina FF 1.60 Nature Photochromic Uncoated,"R1,054.20",
29039,LW Retina FF 1.60 Align-HD Transitions Uncoated,R900.80,
29043,LW Retina FF 1.60 Align-HD Photochromic Uncoated,"R1,150.00",
29052,LW Retina FF 1.60 Bio-Plus Transitions Uncoated,R479.20,
29053,LW Retina FF 1.60 Bio-Plus Photochromic Uncoated,R731.20,
29054,LW Retina FF 1.56 Bio-Plus Photochromic Uncoated,R805.00,
29056,1.60 Smart Transitions Uncoated,R651.70,
29057,1.60 Smart Photochromic Uncoated,"R1,349.30",
29058,1.59 Smart Transitions Uncoated,R709.20,
29059,1.56 Smart Photochromic Uncoated,R191.70,
29065,Hard Coat,,X
29067,Hard Multi-Coat,,X
29070,Smart ARC Blue-Light Protect,,X
29072,Smart ARC,,X
29074,Drive Smart ARC,,X
29076,All Colours C-D saturation,,X
29087,Markennovy Saphir RX / Gentle 80 / Gentle 59 Spheric,"R2,093.00",
29600,Prosthetic Soft Contact Lens,,
29601,Prosthetic Haptic lens,,
29953,Trial Contact Lenses ,,
29999,Materials not listed ,,
40501,Spectacle Frame,,
40525,Ready Made Optical Appliances/Readers,,
40609,Sunglasses,,
41008,Spectacle Case,,
41010,Punctum plugs,,
41015,Amniotic membrane,,
41020,Therapy equipment,,
43025,Transfer - Zyl or Metal  Frame,R131.80,
43126,Transfer - Nylon Supra Frame,R326.70,
43136,Transfer - Rimless Frame,R326.70,
43225,Re-Edge - Zyl Or Metal Frame,R234.00,
43326,Re-Edge - Nylon Supra Frame,R234.00,
43409,Realignment of Frame,R141.10,
43427,Re-Edge - Rimless Frame,R234.00,
43529,Converting Zyl Frame to Half Eye/Nylon Supra,R234.00,
46016,Fitting Nylon,R334.90,
46026,Fitting Rimless,R402.40,
46028,Alter Rimless shape or size,R203.10,
46039,Facetting,R408.00,
46500,Wrap Bevel Fitting for 8 Base Front Curve,R253.30,
46510,Rx Compensation for 8 Base Front Curve,R224.70,
47001,Infection Control - Consulting and Dispensing,,
47003,Infection Control - Consultation,,
47005,Infection Control - Dispensing,,
49019,Frame Repairs or Sundry Items - to be specified,,
49029,Labour Charge  (per 15 minutes or part),R249.00,
49101,Medical Aid Benefit,,
49201,Discount,,
49409,Parcelling - Packaging - Delivery,,
49999,Materials not listed (must be specified),,
61013,LVA - Single Element,,
61114,LVA - Multiple Elements Fixed Focus,,
61215,LVA - Multiple Elements Variable Focus,,
61318,LVA - Electronic,,
61320,Software aided Vision Therapy program,,
62000,Occlusion spectacles for Amblyopia ,,
69999,Materials not listed (must be specified),,
90011,Vision Exam (when no Material Supplied),R296.90,
93200,Combined V/Exam+Frame+S/Vision Standard,"R1,045.60",
93201,Combined V/Exam+Frame+S/Vision Surfaced,"R1,124.70",
93210,Combined V/Exam+Frame+ S/Vision Standard Hard Coated,"R1,190.60",S
93211,Combined V/Exam+Frame+S/Vision Surfaced Hard Coated,"R1,269.70",
93240,Combined V/Exam Frame+ S/Vision Standard PGX,"R1,216.50",
93241,Combined V/Exam+Frame+S/Vision Surfaced PGX,"R1,310.10",
93250,Combined V/Exam+Frame+S/Vision Standard Fixed Tint,"R1,236.90",
93251,Combined V/Exam+Frame+S/Vision Surfaced Fixed Tint,"R1,287.30",
93260,Combined V/Exam+Frame+S/Vision Standard CR39 Photochromatic,"R1,765.30",
93261,Combined V/Exam+Frame+S/Vision Surfaced CR39 Photochromatic,"R1,765.30",
93300,Combined V/Exam+Frame+Bifocal,"R1,734.30",
93310,Combined V/Exam+Frame+Bifocal+ Hard Coat,"R1,876.10",
93340,Combined V/Exam+Frame+Bifocal PGX,"R2,490.90",
93350,Combined V/Exam+Frame+Bifocal CR39 Fixed Tint,"R1,888.60",
93360,Combined V/Exam+Frame+Bifocal CR39 Photochromatic ,"R3,074.40",
93400,Combined V/Exam+Frame+Varifocal CR39 ,"R2,506.80",
93410,Combined V/Exam+Frame+Varifocal CR39 Hard Coat,"R2,651.80",
93440,Combined V/Exam+Frame+Varifocal  PGX,"R3,805.70",
93450,Combined V/Exam+Frame+Varifocal CR39 Fixed Tint,"R3,011.10",
93460,Combined V/Exam+Frame+Varifocal CR39 Photochromatic ,"R3,995.40",
94000,Individual Child Screening,R113.50,
71BS001,Single Vision (Standard),R254.70,
71FE015,SV PGX Glass 1.52 Standard,R153.60,
71FE022,SV Clear Glass 1.52 Standard,R30.10,
71HY001,Maxxee SV Glass 1.5 Standard,R219.10,
71HY002,Hoya  1.50 UV Crown Stock,R249.00,
71HY004,Maxxee SV Glass 1.5 PGX Standard,R830.90,
71HY005,Hoya  1.50  PGX Stock,R879.20,
71LT002,Quality Finished SV White,R157.80,
71LT005,Quality Finished SV PGX,R385.40,
71MG001,MG Clear 1.52,R48.90,
71MG004,MG PGX 1.52,R214.50,
71TG002,Torga 1.523 clear stock,R306.50,
71TG005,Torga 1.523 stock PGX,R426.00,
71TG015,Torga 1.523 stock PGX HMC,R541.20,
71UB005,Unbranded Glass Single Vision Standard PGX,R92.90,
71UT002,Ultimax White Glass,R205.30,
71UT005,Ultimax PGX Glass,R646.90,
72BS001,Single Vision (Surfaced),R561.10,
72CS002,synchrony Single Vision SPH Min 1.5 UNC,"R1,232.90",
72CS005,synchrony Single Vision SPH Min 1.5 Photo Grey UNC,"R1,971.20",
72CS006,synchrony Single Vision SPH Min 1.8 UNC,"R5,377.50",
