"GEMS TARIFF FOR SERVICES BY MEDICAL LABORATORY TECHNOLOGISTS
WITH EFFECT FROM 2026-01-01",,126 - Medical Technology,
Tariff Code,Tariff Description, 2026 Tariff Value,
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",,
,Preamble,,
,"It is recommended that, when such benefits are granted, the following should be clearly specified in the scheme's rules.

- Services must only be on referral.",,
,General Rules,,
001,"Each practitioner must acquaint him-/herself with the provisions of the Medical Schemes Act, and the regulations promulgated under the Act and shall render a monthly account in respect of any service rendered. NB: Every account shall contain the following particulars :

The account or statement contemplated in section 59(1) of the Act must contain the following -
(a)	The surname and initials of the member;
(b)	the surname, first name and other initials, if any, of the patient;
(c)	the name of the scheme concerned;
(d)	the membership number of the member;
(e)	the practice code number, group practice number and individual provider registration number issued by the registering authorities for providers, if applicable, of the supplier of service and, in the case of a group practice, the name of the practitioner who provided the service;
(f)	the relevant diagnostic and such other item code numbers that relates to such relevant health service;
(g)	the date on which each relevant health service was rendered;
 (h)	the nature and cost of each relevant health service rendered, including the supply of medicine to the member concerned or to a dependant of that member; and the name, quantity and dosage of and net amount payable by the member in respect of, the medicine;",,
4251,Metanephrines: Column chromatography,R387.20,
4253,Aromatic amines (gas chromatography/mass spectrophotometry),R474.30,
4254,Nitrosonaphtol test for tyrosine,R39.30,
4261,Micro U-Albumin Quant,R189.80,
4262,Micro Albumin-Qual,R68.70,
4263,pH: Excluding dip-stick method,R15.70,
4265,Thin layer chromatography: One way,R118.40,
4266,Thin layer chromatography: Two way,R197.50,
4268,Organic acids: Quantitative: GCMS,"R1,921.50",
4269,Phenylpyruvic acid: Ferric chloride,R39.30,
4271,Phosphate excretion index,R387.20,
4272,Porphobilinogen qualitative screen: Urine,R87.80,
4273,Porphobilinogen/ALA: Quantitative each,R263.40,
4283,Magnesium: Spectrophotometric,R63.70,
4284,Magnesium: Atomic absorption,R127.00,
4285,Identification of carbohydrate,R134.40,
4287,Identification of drug: Qualitative,R79.20,
4288,Identification of drug: Quantitative,R190.10,
4293,Urea clearance,R94.70,
4297,Copper: Spectrophotometric,R63.70,
4298,Copper: Atomic absorption,R318.20,
4301,Chloride,R45.70,
4309,Urobilinogen: Quantitative,R118.40,
4313,Phosphates,R63.70,
4315,Potassium,R63.70,
4316,Sodium,R63.70,
4319,Urea,R63.70,
4321,Uric acid,R63.70,
4323,Total protein and protein electrophoresis,R197.50,
4325,VMA: Quantitative,R197.50,
4326,Catecholamines (HPLC),"R1,372.60",
4327,"Immunofixation: Total protein, IgG, IgA, IgM, Kappa, Lambda",R823.70,
4335,Cystine: Quantitative,R221.10,
4336,Dinitrophenol hydrazine test: Ketoacids,R39.30,
4339,Chloride,R45.70,
4343,Fat: Qualitative,R55.20,
4345,Fat: Quantitative,R387.20,
4347,Ph,R15.70,
4351,Occult blood: Chemical test,R39.30,
4352,Occult blood: Monoclonal antibodies,R175.60,
4357,Potassium,R63.70,
4358,Sodium,R63.70,
4362,Elastase quantitative ELISA,R825.60,
4363,Stercobilinogen: Quantitative,R118.40,
4366,"Porphyrin screen qualitative: Urine, stool, red blood cells: Each",R87.80,
4367,"Porphyrin qualitative analysis by TLC: Urine, stool, red blood cells: Each",R351.40,
4368,"Porphyrin: Total quantisation: Urine, stool, red blood cells: Each",R351.40,
4369,"Porphyrin quantitative analysis by TLC/HPLC: Urine, stool, red blood cells: Each",R527.00,
