"GEMS TARIFF FOR RADIOLOGISTS AND NUCLEAR MEDICINE
WITH EFFECT FROM 2026-01-01",,025 - Nuclear Medicine,038 - Radiology
12130,X-ray tomography of the orbits,,R760.50
12140,X-ray dacrocystography,,"R1,980.50"
12200,Ultrasound of the orbit/eye,,R907.20
12210,Ultrasound of the orbit/eye including doppler,,"R1,939.70"
12300,CT of the orbits single plane,,"R2,776.20"
12310,"CT of the orbits, more than one plane",,"R3,640.60"
12320,CT of the orbits pre and post contrast single plane,,"R6,370.80"
12330,CT of the orbits pre and post contrast multiple planes,,"R7,019.90"
12400,MR of the orbits,,"R11,044.50"
12410,"MR of the orbitae, pre and post contrast",,"R17,795.60"
12900,Nuclear Medicine study – Dacrocystography,"R3,672.60",
,Paranasal sinuses,,
,"Code 13120 (tomography) may be added to 13100, 13110 (paranasal sinuses), 13130 (nasopharyngeal).",,
13100,"X-ray of the paranasal sinuses, single view",,R484.40
13110,"X-ray of the paranasal sinuses, two or more views",,R647.30
13120,X-ray tomography of the paranasal sinuses,,R760.50
13130,X-ray of the naso-pharyngeal soft tissue,,R484.40
13300,"CT of the paranasal sinuses single plane, limited study",,"R1,273.20"
13310,"CT of the paranasal sinuses, two planes, limited study",,"R2,192.70"
13320,"CT of the paranasal sinuses, any plane, complete study",,"R2,726.70"
13330,"CT of the paranasal sinuses, more than one plane, complete study",,"R3,672.60"
13340,"CT of the paranasal sinuses, any plane, complete study: pre and post contrast",,"R6,143.10"
13350,"CT of the paranasal sinuses, more than one plane, complete study; pre and post contrast",,"R7,251.60"
13400,MR of the paranasal sinuses,,"R10,656.90"
13410,"MR of the paranasal sinuses, pre and post contrast",,"R17,079.20"
,"Mandible, teeth and maxilla",,
,"Code 14110 (orthopantomogram) may be combined with 14100 (mandible) if two separate studies are performed.
Code 14110 (orthopantomogram) may be combined with 15100 and / or 15110 (TM joint) if complete separate studies are performed.
Code 14160 (tomography) may be combined with 14130 or 14140 or 14150 (teeth).
Code 14160 (tomography) may be combined with 15100 and / or 15110 (TM joint) if complete separate studies are performed.
Code 14330 and 14340 (Dental implants) may be combined if mandible and maxilla are examined at the same visit.",,
14100,X-ray of the mandible,,R647.30
14110,X-ray orthopantomogram of the jaws and teeth,,R718.10
14120,X-ray maxillofacial cephalometry,,R489.80
14130,X-ray of the teeth single quadrant,,R353.60
14140,X-ray of the teeth more than one quadrant,,R447.50
14150,X-ray of the teeth full mouth,,R640.10
14160,X-ray tomography of the teeth per side,,R571.10
14300,CT of the mandible,,"R3,939.40"
14310,"CT of the mandible, pre and post contrast",,"R7,295.70"
14320,CT mandible with 3D reconstructions,,"R5,375.40"
14330,CT for dental implants in the mandible,,"R4,853.70"
14340,CT for dental implants in the maxilla,,"R4,853.70"
